"TimeStep","Velocity:0","Velocity:1","Total Energy","Internal Energy","Temperature","Speed of Sound","Pressure","Total Enthalpy","Mach Number","Density","Points:0","Points:1","Points:2"
119,264.11,-18.069,2.1671e+05,1.8166e+05,253.15,318.95,64339,2.8937e+05,0.83,0.88539,0.94328,0.0042776,0
119,264.14,-17.878,2.1673e+05,1.8168e+05,253.17,318.97,64370,2.894e+05,0.83,0.88575,0.94348,0.013075,0
119,261.28,-18.128,2.1649e+05,1.8218e+05,253.87,319.41,64988,2.8936e+05,0.82,0.89177,0.95217,0.0036402,0
119,261.31,-17.918,2.1651e+05,1.822e+05,253.9,319.43,65021,2.8939e+05,0.82,0.89214,0.95272,0.012418,0
119,255.64,-17.765,2.1607e+05,1.8323e+05,255.33,320.33,66301,2.8936e+05,0.8,0.90459,0.96787,0.0024842,0
119,255.68,-17.42,2.1609e+05,1.8325e+05,255.36,320.34,66337,2.8939e+05,0.8,0.90498,0.96937,0.011201,0
119,258.44,-18.161,2.1627e+05,1.827e+05,254.59,319.86,65635,2.8935e+05,0.81,0.8981,0.96005,0.0030685,0
119,258.48,-17.882,2.1629e+05,1.8272e+05,254.62,319.88,65673,2.8938e+05,0.81,0.89851,0.96108,0.011814,0
119,244.15,-16.703,2.1518e+05,1.852e+05,258.07,322.04,68825,2.8926e+05,0.76,0.92895,0.98645,0.0010687,0
119,244.15,-16.676,2.1518e+05,1.852e+05,258.07,322.04,68828,2.8926e+05,0.76,0.92898,0.98667,0.001564,0
119,247.03,-16.941,2.1541e+05,1.8471e+05,257.4,321.62,68202,2.8929e+05,0.77,0.92295,0.98248,0.0013739,0
119,247.09,-16.479,2.1542e+05,1.8474e+05,257.43,321.64,68241,2.8932e+05,0.77,0.92341,0.986,0.0099434,0
119,249.92,-17.178,2.1563e+05,1.8423e+05,256.72,321.2,67578,2.8933e+05,0.78,0.91694,0.97851,0.001679,0
119,249.96,-16.764,2.1565e+05,1.8425e+05,256.75,321.21,67612,2.8935e+05,0.78,0.91733,0.98098,0.010326,0
119,252.81,-17.416,2.1586e+05,1.8375e+05,256.05,320.78,66955,2.8936e+05,0.79,0.91093,0.97453,0.0019842,0
119,252.84,-17.05,2.1588e+05,1.8376e+05,256.06,320.79,66983,2.8938e+05,0.79,0.91125,0.97595,0.010708,0
119,235.71,-11.23,2.1466e+05,1.8677e+05,260.27,323.41,70911,2.8936e+05,0.73,0.94907,0.99749,0.00019818,0
119,235.79,-9.8224,2.1467e+05,1.8679e+05,260.29,323.42,70948,2.8939e+05,0.73,0.94951,1,0.0038229,0
119,238.52,-13.083,2.1483e+05,1.8625e+05,259.53,322.95,70214,2.8933e+05,0.74,0.94236,0.99382,0.00048808,0
119,238.69,-9.8694,2.1487e+05,1.8629e+05,259.59,322.99,70302,2.8938e+05,0.74,0.94338,0.99955,0.0088851,0
119,241.33,-14.936,2.15e+05,1.8572e+05,258.8,322.49,69518,2.8929e+05,0.75,0.93564,0.99014,0.00077799,0
119,241.49,-12.161,2.1505e+05,1.8577e+05,258.87,322.54,69612,2.8936e+05,0.75,0.93669,0.99505,0.0092365,0
119,244.28,-14.453,2.1523e+05,1.8525e+05,258.15,322.09,68923,2.8934e+05,0.76,0.93001,0.99056,0.0095879,0
119,235.87,-8.0785,2.1472e+05,1.8683e+05,260.34,323.45,70962,2.8945e+05,0.73,0.94949,1.0036,0,0
119,238.72,-9.2503,2.1487e+05,1.863e+05,259.6,322.99,70306,2.8939e+05,0.74,0.9434,1.0007,0.0088496,0
119,238.91,-5.3219,2.1498e+05,1.8637e+05,259.71,323.06,70341,2.8953e+05,0.74,0.94337,1.0088,0,0
